method,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,test_size
Rule_Based,0.5277777777777778,0.7052469135802468,0.5277777777777778,0.49246511561782497,0.7052469135802469,0.5277777777777778,0.49246511561782497,180
Embedding_Based,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,180
Transformer_1_Epoch,0.9444444444444444,0.9443229451430654,0.9444444444444445,0.9442531110804978,0.9443229451430655,0.9444444444444444,0.9442531110804977,180
Transformer_3_Epochs,0.9666666666666667,0.9673835125448029,0.9666666666666667,0.9668457287518137,0.9673835125448028,0.9666666666666667,0.9668457287518137,180
